,High,Low,Open,Close,Volume,Adj Close
389,126.8000030517578,125.19000244140624,126.51000213623048,126.0500030517578,222863000.0,98.07234954833984
390,127.8000030517578,124.8499984741211,125.1500015258789,127.4800033569336,296904200.0,99.18492889404295
391,129.14999389648438,127.5500030517578,127.88999938964844,128.16999816894528,311698400.0,99.7218246459961
392,128.41000366210938,125.16000366210938,128.33999633789062,125.51000213623048,248634500.0,97.65220642089844
393,126.48999786376952,125.16999816894531,125.88999938964844,125.4800033569336,219131000.0,97.62884521484376
394,126.05999755859376,123.41999816894531,125.51000213623048,123.63999938964844,205201300.0,96.19725036621094
395,126.37999725341795,123.63999938964844,123.9800033569336,126.27999877929688,261505600.0,98.25131225585938
396,128.60000610351562,126.27999877929688,127.11000061035156,128.52999877929688,354710000.0,100.00191497802734
397,128.57000732421878,126.62999725341795,127.4000015258789,126.83000183105469,277402100.0,98.67922973632812
398,127.27999877929688,125.45999908447266,127.12000274658205,126.16000366210938,248690900.0,98.1579132080078
399,126.13999938964844,124.76000213623048,126.04000091552734,124.98999786376952,188239600.0,97.2476043701172
400,128.55999755859378,124.97000122070312,126.0199966430664,128.36000061035156,251577600.0,99.86961364746094
401,129.30000305175778,127.4800033569336,128.02000427246094,128.92999267578122,209555400.0,100.31311798095705
402,128.44000244140622,126.54000091552734,127.95999908447266,127.01000213623048,246312500.0,98.81928253173828
403,129.92999267578122,126.37999725341795,126.58000183105469,129.3699951171875,260811700.0,100.6554718017578
404,131.50999450683594,129.22999572753906,129.47000122070312,130.71000671386722,249425800.0,101.69802856445312
405,130.69999694824222,128.72999572753906,130.27999877929688,129.35000610351562,213200800.0,100.63990783691406
406,129.64999389648438,127.66999816894531,128.78999328613278,128.57000732421878,256393200.0,100.03303527832031
407,130.27999877929688,127.75,127.83999633789062,129.53999328613278,239555300.0,100.7877197265625
408,130.5,129.30000305175778,129.92999267578122,130.16999816894528,181000800.0,101.27790069580078
409,130.47999572753906,127.66000366210938,130.42999267578122,128.38999938964844,172275100.0,99.89299011230469
410,127.69000244140624,126.52999877929688,127.41999816894531,126.98999786376952,194673700.0,98.80374145507812
411,127.9499969482422,126.33999633789062,127.38999938964844,127.58000183105469,225498200.0,99.26274871826172
412,128.44000244140622,126.5999984741211,126.75,127.8000030517578,180609800.0,99.43392944335938
413,129.64999389648438,127.8000030517578,128.66999816894528,129.64999389648438,167715300.0,100.87328338623048
414,129.64999389648438,126.75,128.80000305175778,127.0199966430664,171936900.0,98.82706451416016
415,127.87000274658205,126.58000183105469,127.0199966430664,127.38999938964844,159117200.0,99.11492919921876
416,128.83000183105472,127.3000030517578,127.5500030517578,128.6300048828125,171032800.0,100.07966613769531
417,130.33999633789062,129.11000061035156,129.27999877929688,130.19000244140622,167537100.0,101.29346466064452
418,130.13999938964844,128.50999450683594,129.72999572753906,128.78999328613278,189195800.0,100.2042007446289
419,130.71000671386722,127.5199966430664,130.02999877929688,127.98999786376952,252364900.0,99.58177185058594
420,128.5,126.93000030517578,127.87999725341795,127.87999725341795,251947000.0,99.49615478515624
421,127.2300033569336,123.95999908447266,126.97000122070312,124.02999877929688,340042500.0,96.50072479248048
422,124.9499969482422,122.0,123.29000091552734,124.41999816894531,289503400.0,96.80414581298828
423,128.24000549316406,124.41999816894531,128.03999328613278,126.98999786376952,364075300.0,98.80374145507812
424,127.36000061035156,122.8000030517578,127.0999984741211,123.22000122070312,377326800.0,95.87049102783205
425,124.9000015258789,122.5500030517578,123.88999938964844,123.72000122070312,298916600.0,96.259521484375
426,125.73999786376952,121.5999984741211,122.12000274658205,125.51000213623048,375369400.0,97.65220642089844
427,126.20999908447266,123.83000183105469,124.29000091552734,126.08999633789062,297851200.0,98.1034698486328
428,125.6500015258789,119.88999938964844,121.62999725341795,120.08999633789062,483607000.0,93.43523406982422
429,122.31999969482422,117.0,117.1999969482422,122.0999984741211,581744300.0,94.9990692138672
430,121.8499984741211,116.0,119.63999938964844,116.61000061035156,624095600.0,90.7276382446289
431,121.79000091552734,113.8000030517578,118.0500030517578,120.06999969482422,776114700.0,93.41964721679688
432,128.0,123.33000183105469,126.6999969482422,124.12000274658205,501087800.0,97.12972259521484
